Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
GIK-1,,GIK-1,LS,RU,01-Nov-94,*,GIK-1 -,1-y Gosudarstvenniy Ispitatelniy Kosmodrom MO RF,"Plesetsk, Rossiya",40.5,62.9,0.02,RVSN,Plesetsk,-,GIK-1
GIK-2,,SVOB,LS,RU,1990,2016,GIK-2 -,"GIK-2, Svobodniy, Amurskaya Oblast', Rossiya",-,128,51.7,0.5,RVSN,Svobodniy,-,-
NIIP-5,,GIK-5,LS,SU,1956,1989,NIIP-5,"NIIP-5, Baykonur, Kazakstan",-,63,46,0.02,RVSN,Baykonur,-,GIK-5
GIK-5,,GIK-5,LS,RU,1989,*,GIK-5,"GIK-5, Baykonur, Kazakstan",-,63,46,0.02,RVSN,Baykonur,-,GIK-5
GIOIA,,GIOIA,LS,I,-,-,GIOIA -,"Jupiter sites, Gioia del Colle, Italy",-,16.93,40.76,0.01,I,-,-,-
GMI,,GMI,LS,NZ,20-Sep,-,GMI,Great Mercury Island,"Great Mercury I., New Zealand",175.92,-36.58,0.02,RLABN,-,-,-
GIP-53,,GNIIP,LS,RU,01-Jun-94,01-Jan-95,GIP-53,"GIP-53, Plesetsk, Rossiya",-,41.1,63,0.5,RVSN,-,-,GIK-1
GNIIP1,,GNIIP,LS,RU,01-Jan-93,01-Jun-94,GNIIP -,"GNIIP, Plesetsk, Rossiya",-,41.1,63,0.5,RVSN,-,-,GIK-1
GNIIP,,GNIIP,LS,RU,01-Jan-95,*,GNIIP -,"GNIIP, Plesetsk, Rossiya",-,41.1,63,0.5,RVSN,-,-,GIK-1
GOSEONG,,GOSEONG,LS,KR,Jul-17,*,Goseong,"Goseong, South Korea",-,128.4183,38.5226,0.0001,ADD,-,-,-
GRLC,,GRLC,LS,US,10-Feb-64,24-Aug-73,GRU   -,"Green River, Utah",-,-110.13,38.97,0.05,USAF,-,-,-
GRLY,,GRLY,LS,US,07-Aug-71,14-Aug-71,GRLY  -,"Fort Greely, Alaska",-,-146,64,0.25,USA,-,-,-
GTI,,GTI,LS,TC,-,-,GTI,"Grand Turk Auxiliary AFB, Grand Turk Island",-,-71.142,21.444,0.005,USAF,-,-,-
GTsP-4,,GTsP-4,LS,SU,1946,1999,GTsP-4,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",-,45.8,48.5,0.1,RVSN,KY,-,GTsP-4
GTsMP-4,,GTsP-4,LS,SU,1999,*,GTsMP-4,"GTsMP-4 MO RF, Znamensk (Kapustin Yar), Rossiya",-,45.8,48.5,0.1,RVSN,-,-,GTsP-4
GUAM,,GUAM,LS,GU,12-Feb-57,24-Nov-58,GUAM  -,"Guam, Marianas Islands",-,144.9,13.6,0.25,USA,-,-,-
HAD,,HAD,LS,LUNA,02-Aug-71,02-Aug-71,HAD   LM10-DS,"LM 10 Descent Stage, Hadley Base, Montes Apenninus, Montes Apenninus B4",Luna,3.66,26.08,0.01,NASA,-,-,LUNA
HADC,,HADC,LS,US,02-Dec-49,01-Sep-57,HADC  -,"Holloman Air Development Center, New Mexico",-,-106.103,32.8496,0.0001,USAF,-,-,WS
HAI,,HAI,LS,CN,1988,*,HAI   -,"Haikou Space Center, Hainan",-,109.1193,19.529,0.0002,CN,-,-,µ╡╖σÅú
HAMA,,HAMA,LS,SY,Jul-92,*,SYRIA HAMA,"Hama missile base, Syria",-,36.7107,35.1211,0.001,SYMC,-,-,-
HAMNC,,HAMNC,LS,US,1997,1997,HAM,"Hampstead, North Carolina, 1 mi W of Topsail Beach",-,-77.64,34.36,0.05,HAL5,-,-,-
HARBIN,,HARBIN,LS,CN,1967,*,Harbin,"Harbin, Heilongjiang, Manchuria, China",-,126.68,45.75,0.02,CN,-,-,-
HHAI,,HHAI,LS,CN,2019,-,Huang Hai,Huang Hai CZ-11 launch zone,-,121.19,34.9,0.01,CALT,-,-,-
HKR,,HKR,LS,DR,1944,1945,HKR   -,"Heidekraut, Tucheler Heide, Deutschland (now Polska)",-,18,53.6,0.3,WEHR,-,-,-
HLG,,HLG,LS,PL,Nov-43,Aug-44,HLG   -,"Truppenubungsplatz Heidelager, Blizna, Krakow, Polska",-,21.8,50.2,0.2,WEHR,-,-,-
HMG,,HMG,LS,DZ,1949,1967,HMG   -,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",-,-3.083,30.887,0.02,F,-,-,-
HVP,,HVP,LS,DR,1942,1945,HVP   -,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",-,13.801,54.173,0.01,WEHR,-,-,-
HULU,,HULU,LS,CN,1990?,-,Huludao,Huludao Shipyard test site,"Huludao, Liaonning",120.8,40.7,0.5,PLANS,-,-,-
HWJU,,HWJU,LS,KP,2016,-,Hwangju,"Scud launch site near Hwangju, N Hwanghae Prov.",-,125.702,38.6868,0.0001,CMIK,-,-,-
IQ160,,IQ160,LS,IQ,1991,1991,Km 160,"Kilometer 160, Ar Ramadi, Al Ambar, Iraq","Ar Ramadi, Al Anbar, Iraq",43.1,33.4,0.5,IQ,-,-,-
IQAN,,IQAN,LS,IQ,1991,1991,Al Nikheb,Al Nikheb (Al Nuqaub),"Al Nikheb, Al Anbar, Iraq",42.26,32.03,0.01,IQ,-,-,-
IQBA,,IQBA,LS,IQ,20-Mar,20-Mar,Basra,Mobile launchers in Basra region,"Basra, Iraq",47.8,30.5,0.2,IQ,-,-,-
IQH3,,IQH3,LS,IQ,20-Mar,20-Mar,H3 Airbase,"H3 Airbase, Al Anbar","Al Anbar, Iraq",39.74,32.93,0.01,IQ,-,-,-
